ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษาฯ (02),ภาษาอังกฤษ (03)
1,23.50,20.00,25.00,32.00,16.25
2,63.00,15.00,35.00,29.00,26.25
3,59.00,17.50,33.00,41.00,23.75
4,58.00,37.50,41.00,46.00,37.50
5,61.50,52.50,32.00,43.00,28.75
6,69.00,50.00,41.00,47.00,41.25
7,44.50,20.00,25.00,29.00,30.00
8,68.00,40.00,31.00,37.00,28.75
9,66.00,37.50,29.00,35.00,20.00
10,58.50,45.00,34.00,45.00,45.00
11,73.50,17.50,38.00,41.00,37.50
12,69.00,80.00,50.00,41.00,68.75
13,73.50,25.00,28.00,41.00,25.00
14,,,,,
15,64.50,42.50,31.00,46.00,36.25
16,58.50,32.50,35.00,34.00,27.50
17,65.00,22.50,38.00,40.00,18.75
18,66.50,32.50,32.00,38.00,57.50
19,79.50,65.00,58.00,55.00,76.25
20,51.00,20.00,29.00,31.00,25.00
21,50.00,70.00,46.00,34.00,32.50
22,45.00,15.00,27.00,21.00,21.25
23,71.00,52.50,46.00,57.00,62.50
24,67.50,25.00,32.00,42.00,76.25
25,53.00,7.50,33.00,40.00,22.50
26,56.50,72.50,55.00,51.00,67.50
27,52.00,15.00,27.00,33.00,20.00
28,56.00,22.50,36.00,33.00,22.50
29,67.00,47.50,41.00,48.00,25.00
30,60.50,20.00,23.00,35.00,17.50
31,81.00,30.00,33.00,48.00,38.75
32,50.50,15.00,24.00,20.00,20.00
33,49.50,20.00,18.00,37.00,20.00
34,49.50,20.00,25.00,40.00,21.25
35,76.00,62.50,47.00,66.00,36.25
36,62.50,20.00,30.00,45.00,22.50
37,77.50,22.50,31.00,23.00,25.00
38,64.50,40.00,44.00,47.00,58.75
39,68.00,27.50,29.00,39.00,31.25
40,69.50,20.00,27.00,32.00,30.00
41,42.00,25.00,31.00,30.00,13.75
42,48.00,17.50,34.00,40.00,32.50
43,54.50,62.50,34.00,36.00,36.25
44,58.50,42.50,40.00,35.00,18.75
45,60.00,20.00,39.00,42.00,28.75
46,61.00,70.00,39.00,33.00,53.75
47,55.50,22.50,39.00,28.00,21.25
48,64.50,27.50,35.00,34.00,17.50
49,67.50,45.00,25.00,38.00,46.25
50,77.50,57.50,47.00,48.00,46.25
51,61.50,27.50,27.00,49.00,48.75
52,58.50,27.50,30.00,48.00,38.75
53,63.50,57.50,43.00,40.00,43.75
54,72.50,37.50,38.00,38.00,55.00
55,40.50,27.50,24.00,22.00,31.25
56,52.50,32.50,44.00,52.00,33.75
57,62.50,55.00,53.00,49.00,47.50
58,72.50,25.00,34.00,55.00,50.00
59,59.00,40.00,35.00,32.00,22.50
60,40.50,12.50,25.00,28.00,20.00
61,75.00,40.00,44.00,33.00,40.00
62,68.00,30.00,34.00,38.00,26.25
63,55.00,10.00,20.00,34.00,22.50
64,39.50,37.50,40.00,33.00,28.75
65,69.00,42.50,44.00,31.00,32.50
66,73.00,45.00,31.00,49.00,22.50
67,68.50,65.00,50.00,52.00,62.50
68,69.00,45.00,41.00,46.00,27.50
69,74.50,35.00,46.00,53.00,41.25
70,55.00,32.50,35.00,34.00,30.00
