ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษาฯ (02),ภาษาอังกฤษ (03)
71,79.00,45.00,40.00,50.00,35.00
72,69.50,47.50,41.00,28.00,26.25
73,70.00,22.50,42.00,40.00,32.50
74,70.00,50.00,40.00,44.00,51.25
75,71.50,32.50,31.00,42.00,28.75
76,72.00,15.00,42.00,36.00,31.25
77,53.00,22.50,27.00,34.00,25.00
78,60.50,20.00,37.00,39.00,46.25
79,73.50,32.50,38.00,45.00,30.00
80,74.00,32.50,33.00,48.00,45.00
81,70.00,12.50,23.00,32.00,38.75
82,73.50,22.50,34.00,37.00,20.00
83,60.50,45.00,33.00,40.00,18.75
84,72.50,45.00,50.00,45.00,45.00
85,70.50,27.50,37.00,44.00,13.75
86,77.50,52.50,49.00,48.00,28.75
87,42.50,17.50,29.00,32.00,30.00
88,57.00,10.00,29.00,37.00,27.50
89,63.00,12.50,33.00,44.00,27.50
90,50.00,25.00,32.00,30.00,18.75
91,57.50,12.50,36.00,30.00,23.75
92,57.00,40.00,42.00,38.00,28.75
93,63.50,17.50,35.00,43.00,57.50
94,56.50,25.00,30.00,39.00,33.75
95,50.00,20.00,20.00,36.00,15.00
96,56.50,32.50,23.00,26.00,23.75
97,26.50,17.50,25.00,29.00,20.00
98,49.50,22.50,29.00,26.00,28.75
99,70.00,32.50,53.00,52.00,31.25
100,64.00,35.00,30.00,30.00,32.50
101,59.50,22.50,25.00,35.00,25.00
102,57.00,10.00,27.00,45.00,23.75
103,65.00,22.50,24.00,31.00,21.25
104,42.50,22.50,31.00,35.00,30.00
105,80.50,52.50,36.00,50.00,36.25
106,76.00,40.00,42.00,51.00,48.75
107,72.50,52.50,33.00,42.00,41.25
108,71.50,22.50,36.00,41.00,53.75
109,83.00,60.00,44.00,50.00,63.75
110,39.00,22.50,29.00,31.00,22.50
111,67.50,17.50,27.00,45.00,27.50
112,53.00,22.50,24.00,39.00,27.50
113,72.50,45.00,49.00,47.00,30.00
114,68.00,32.50,37.00,41.00,23.75
115,83.50,65.00,52.00,56.00,65.00
116,43.50,75.00,50.00,59.00,66.25
117,64.00,30.00,33.00,44.00,30.00
118,75.50,37.50,47.00,44.00,57.50
119,76.00,35.00,31.00,47.00,33.75
120,67.00,62.50,53.00,41.00,12.50
121,69.00,40.00,41.00,29.00,71.25
122,57.00,27.50,30.00,44.00,28.75
123,65.00,30.00,34.00,43.00,27.50
124,71.00,32.50,31.00,47.00,22.50
125,,,,,
126,65.00,47.50,37.00,45.00,37.50
127,57.00,20.00,32.00,48.00,43.75
128,57.50,25.00,23.00,44.00,23.75
129,76.00,52.50,36.00,49.00,43.75
130,40.50,5.00,21.00,35.00,20.00
131,63.00,15.00,29.00,32.00,27.50
132,62.50,22.50,26.00,43.00,27.50
133,62.50,15.00,37.00,52.00,26.25
134,66.50,32.50,32.00,38.00,21.25
135,69.50,17.50,40.00,41.00,25.00
136,72.00,12.50,32.00,31.00,27.50
137,75.50,50.00,44.00,34.00,38.75
138,78.00,17.50,30.00,45.00,35.00
139,72.00,60.00,56.00,40.00,52.50
140,39.50,27.50,26.00,28.00,22.50
141,61.00,27.50,62.00,53.00,18.75
142,51.00,12.50,25.00,37.00,22.50
143,83.00,45.00,55.00,54.00,47.50
144,69.50,22.50,31.00,43.00,20.00
145,63.00,22.50,36.00,42.00,21.25
146,38.00,25.00,32.00,30.00,21.25
147,71.00,85.00,56.00,43.00,53.75
148,55.50,27.50,28.00,30.00,23.75
149,54.00,22.50,28.00,32.00,28.75
150,79.50,62.50,54.00,55.00,31.25
151,68.50,25.00,37.00,48.00,32.50
152,55.00,30.00,31.00,40.00,35.00
153,64.50,15.00,36.00,39.00,56.25
154,74.50,30.00,40.00,34.00,43.75
155,61.00,37.50,34.00,37.00,28.75
156,62.50,35.00,45.00,45.00,33.75
157,50.50,17.50,31.00,33.00,20.00
158,60.00,15.00,24.00,37.00,27.50
159,70.00,30.00,29.00,46.00,18.75
160,60.00,7.50,34.00,34.00,31.25
161,31.50,15.00,27.00,32.00,28.75
162,77.00,50.00,54.00,49.00,46.25
163,69.00,30.00,33.00,43.00,22.50
164,44.50,22.50,25.00,21.00,23.75
165,82.00,90.00,66.00,50.00,58.75
166,62.00,25.00,31.00,55.00,18.75
167,66.50,20.00,32.00,39.00,22.50
168,65.50,7.50,28.00,38.00,20.00
169,36.50,20.00,23.00,34.00,23.75
170,65.00,40.00,32.00,46.00,26.25
171,89.00,40.00,35.00,52.00,63.75
172,52.00,22.50,24.00,27.00,20.00
173,78.00,67.50,62.00,49.00,75.00
174,69.00,27.50,28.00,38.00,27.50
175,48.50,22.50,32.00,32.00,22.50
176,64.00,22.50,34.00,46.00,27.50
177,71.50,32.50,34.00,49.00,27.50
178,59.00,30.00,31.00,26.00,16.25
179,57.50,20.00,29.00,32.00,20.00
180,65.00,35.00,36.00,34.00,23.75
181,56.50,27.50,35.00,29.00,42.50
182,78.50,22.50,31.00,40.00,26.25
183,52.50,15.00,27.00,26.00,23.75
184,72.00,65.00,49.00,45.00,47.50
185,81.50,35.00,31.00,52.00,22.50
186,64.00,17.50,30.00,36.00,21.25
187,76.50,57.50,53.00,50.00,58.75
188,66.50,45.00,38.00,42.00,23.75
189,66.00,70.00,52.00,34.00,35.00
190,62.50,25.00,23.00,30.00,30.00
191,68.00,32.50,55.00,49.00,15.00
192,44.00,15.00,25.00,35.00,17.50
193,74.00,17.50,44.00,46.00,42.50
194,70.50,27.50,44.00,52.00,41.25
195,67.50,45.00,45.00,45.00,26.25
196,69.50,55.00,55.00,39.00,51.25
197,60.00,32.50,31.00,41.00,23.75
198,69.50,30.00,45.00,48.00,46.25
199,52.00,25.00,24.00,33.00,32.50
200,71.00,47.50,37.00,40.00,25.00
201,40.00,17.50,30.00,28.00,28.75
202,69.50,67.50,49.00,47.00,28.75
203,67.00,22.50,32.00,35.00,36.25
204,64.50,20.00,30.00,35.00,23.75
205,57.00,62.50,49.00,36.00,18.75
206,75.00,15.00,32.00,45.00,50.00
207,70.00,25.00,31.00,53.00,50.00
208,49.00,37.50,33.00,29.00,26.25
209,67.50,55.00,52.00,48.00,28.75
210,37.50,15.00,24.00,26.00,23.75
211,68.00,60.00,35.00,37.00,30.00
212,72.00,32.50,41.00,48.00,27.50
213,60.00,30.00,28.00,26.00,28.75
214,63.50,60.00,43.00,41.00,33.75
215,78.50,92.50,64.00,56.00,50.00
216,55.50,37.50,37.00,29.00,13.75
217,68.50,32.50,22.00,43.00,22.50
218,39.50,20.00,31.00,38.00,40.00
219,67.00,32.50,43.00,35.00,26.25
220,59.50,22.50,34.00,37.00,16.25
221,59.50,12.50,24.00,29.00,25.00
222,58.00,22.50,27.00,40.00,17.50
223,62.00,15.00,33.00,40.00,27.50
224,42.00,7.50,23.00,28.00,22.50
225,43.00,12.50,28.00,26.00,23.75
226,81.50,27.50,44.00,48.00,38.75
227,77.00,25.00,35.00,27.00,35.00
228,53.00,12.50,36.00,41.00,36.25
229,67.50,72.50,57.00,45.00,48.75
230,69.00,80.00,69.00,43.00,38.75
231,66.50,27.50,29.00,43.00,36.25
232,82.50,52.50,47.00,50.00,33.75
233,29.50,15.00,22.00,17.00,16.25
234,49.50,10.00,27.00,30.00,23.75
235,62.00,20.00,28.00,39.00,16.25
236,79.00,82.50,51.00,40.00,46.25
237,69.00,22.50,34.00,44.00,16.25
238,89.50,55.00,45.00,61.00,91.25
239,45.50,17.50,18.00,29.00,16.25
240,56.00,27.50,39.00,46.00,40.00
241,59.50,30.00,28.00,33.00,40.00
242,63.50,32.50,27.00,36.00,37.50
243,33.00,32.50,25.00,35.00,16.25
244,72.00,25.00,41.00,40.00,30.00
245,62.00,25.00,25.00,40.00,31.25
246,58.00,32.50,29.00,47.00,23.75
247,29.00,10.00,24.00,34.00,25.00
248,67.00,35.00,33.00,36.00,22.50
249,79.00,62.50,46.00,41.00,46.25
250,66.00,17.50,31.00,44.00,25.00
251,67.50,45.00,41.00,43.00,28.75
252,61.50,22.50,32.00,45.00,23.75
253,76.00,65.00,51.00,43.00,51.25
254,71.00,40.00,40.00,34.00,20.00
255,59.00,50.00,44.00,40.00,36.25
256,71.00,20.00,30.00,35.00,46.25
257,65.00,27.50,27.00,31.00,31.25
258,56.50,47.50,33.00,39.00,26.25
259,49.00,15.00,25.00,34.00,18.75
260,30.50,12.50,28.00,31.00,18.75
261,79.50,62.50,42.00,45.00,35.00
262,79.00,45.00,41.00,44.00,45.00
263,56.00,22.50,23.00,28.00,18.75
264,50.00,10.00,25.00,38.00,23.75
265,82.50,60.00,49.00,46.00,37.50
266,80.50,32.50,42.00,42.00,25.00
267,46.00,10.00,27.00,22.00,26.25
268,78.00,45.00,38.00,51.00,48.75
269,43.50,20.00,25.00,31.00,21.25
270,66.50,15.00,54.00,53.00,16.25
271,49.00,17.50,29.00,37.00,21.25
272,72.50,67.50,44.00,49.00,72.50
273,52.50,30.00,35.00,43.00,21.25
274,56.00,17.50,23.00,29.00,41.25
275,69.00,65.00,39.00,40.00,45.00
276,40.50,15.00,30.00,,21.25
277,,10.00,,23.00,17.50
278,67.00,47.50,44.00,35.00,50.00
279,69.50,30.00,32.00,37.00,32.50
280,71.50,70.00,53.00,46.00,35.00
281,82.00,62.50,46.00,49.00,68.75
282,43.50,20.00,27.00,26.00,30.00
283,74.50,37.50,44.00,43.00,21.25
284,43.00,17.50,18.00,29.00,16.25
285,42.00,12.50,29.00,29.00,15.00
286,78.50,55.00,49.00,50.00,46.25
287,57.00,52.50,32.00,38.00,23.75
288,66.50,37.50,43.00,42.00,20.00
289,59.50,25.00,25.00,30.00,22.50
290,59.50,22.50,25.00,42.00,28.75
291,,,,,
292,45.00,27.50,36.00,36.00,27.50
293,54.50,50.00,44.00,47.00,35.00
294,73.00,25.00,43.00,44.00,51.25
295,31.50,12.50,19.00,22.00,21.25
296,56.50,57.50,33.00,33.00,16.25
297,57.00,20.00,34.00,42.00,20.00
298,52.00,22.50,31.00,35.00,20.00
299,80.50,72.50,65.00,55.00,70.00
300,66.50,35.00,40.00,42.00,22.50
301,66.50,25.00,42.00,52.00,78.75
302,75.50,57.50,40.00,54.00,28.75
303,37.00,20.00,22.00,33.00,21.25
304,73.00,27.50,32.00,42.00,37.50
305,59.50,20.00,31.00,31.00,17.50
306,63.50,22.50,31.00,38.00,23.75
307,79.00,27.50,35.00,35.00,66.25
308,73.00,77.50,51.00,61.00,61.25
309,65.50,67.50,41.00,46.00,38.75
310,73.50,35.00,36.00,46.00,23.75
311,68.00,22.50,34.00,52.00,26.25
312,73.50,82.50,49.00,35.00,43.75
313,37.00,32.50,29.00,28.00,21.25
314,64.00,40.00,46.00,43.00,31.25
315,32.50,25.00,31.00,33.00,28.75
316,58.00,20.00,27.00,31.00,17.50
317,74.50,50.00,34.00,49.00,17.50
318,56.50,20.00,25.00,35.00,20.00
319,67.00,60.00,49.00,44.00,45.00
320,56.50,20.00,39.00,33.00,12.50
321,74.00,55.00,29.00,38.00,28.75
322,74.50,42.50,47.00,57.00,41.25
323,66.50,27.50,32.00,32.00,38.75
324,71.00,52.50,38.00,47.00,37.50
325,74.00,42.50,39.00,49.00,35.00
326,24.50,12.50,29.00,23.00,16.25
327,71.50,27.50,32.00,43.00,47.50
328,54.50,17.50,39.00,40.00,22.50
329,45.00,45.00,36.00,37.00,27.50
330,75.50,42.50,40.00,44.00,57.50
331,61.50,2.50,25.00,23.00,23.75
332,67.50,25.00,31.00,28.00,37.50
333,76.00,35.00,33.00,46.00,36.25
334,68.00,30.00,41.00,53.00,37.50
335,52.00,17.50,28.00,35.00,21.25
336,56.50,30.00,24.00,30.00,31.25
337,62.50,25.00,25.00,36.00,38.75
338,72.50,47.50,36.00,41.00,52.50
339,62.50,25.00,43.00,40.00,23.75
340,76.00,90.00,58.00,41.00,61.25
341,75.50,65.00,47.00,41.00,36.25
342,73.50,25.00,35.00,45.00,25.00
343,55.00,27.50,29.00,42.00,26.25
344,85.00,47.50,62.00,50.00,41.25
345,77.50,47.50,49.00,56.00,48.75
346,81.00,35.00,37.00,47.00,46.25
347,78.00,25.00,29.00,37.00,31.25
348,65.50,60.00,53.00,34.00,53.75
349,32.00,27.50,30.00,31.00,35.00
350,71.00,32.50,38.00,49.00,26.25
351,83.00,50.00,47.00,58.00,47.50
352,67.50,7.50,27.00,37.00,22.50
353,55.00,12.50,28.00,37.00,35.00
354,76.50,52.50,44.00,46.00,30.00
355,56.50,15.00,26.00,36.00,17.50
356,73.00,35.00,35.00,48.00,48.75
357,65.50,27.50,22.00,30.00,25.00
358,55.50,20.00,28.00,38.00,27.50
359,71.00,45.00,30.00,43.00,53.75
360,74.50,30.00,31.00,37.00,38.75
361,68.00,60.00,41.00,36.00,32.50
362,58.50,22.50,35.00,35.00,38.75
363,67.00,40.00,28.00,34.00,20.00
364,42.00,17.50,21.00,26.00,20.00
365,64.50,30.00,34.00,34.00,52.50
366,81.50,47.50,50.00,48.00,57.50
367,63.00,67.50,40.00,36.00,31.25
368,70.00,57.50,51.00,58.00,42.50
369,82.00,40.00,47.00,44.00,72.50
370,58.50,15.00,51.00,39.00,31.25
371,53.00,30.00,37.00,31.00,33.75
372,64.00,82.50,50.00,43.00,32.50
373,67.50,17.50,21.00,41.00,27.50
374,73.50,67.50,58.00,51.00,33.75
375,59.50,25.00,29.00,42.00,23.75
376,64.50,32.50,44.00,43.00,47.50
377,62.00,25.00,38.00,35.00,32.50
378,59.00,12.50,29.00,33.00,22.50
379,81.50,50.00,48.00,48.00,43.75
380,43.50,27.50,26.00,28.00,27.50
381,38.50,15.00,26.00,27.00,20.00
382,77.00,60.00,44.00,45.00,55.00
383,,,,,
384,60.50,25.00,38.00,37.00,30.00
385,69.50,70.00,42.00,42.00,51.25
386,79.50,30.00,42.00,44.00,57.50
387,68.00,37.50,31.00,40.00,28.75
388,75.50,47.50,44.00,42.00,33.75
389,53.00,35.00,28.00,32.00,21.25
390,44.50,27.50,32.00,28.00,18.75
391,65.00,37.50,34.00,55.00,36.25
392,76.50,50.00,52.00,56.00,72.50
393,56.00,42.50,39.00,40.00,31.25
394,73.00,82.50,53.00,42.00,56.25
395,48.50,42.50,29.00,37.00,21.25
396,78.00,77.50,48.00,47.00,48.75
397,81.00,72.50,57.00,51.00,43.75
398,67.50,25.00,35.00,32.00,21.25
399,58.50,20.00,32.00,39.00,25.00
400,44.50,12.50,26.00,33.00,21.25
401,81.00,70.00,46.00,50.00,33.75
402,82.00,52.50,39.00,55.00,37.50
403,75.00,67.50,53.00,42.00,62.50
404,62.50,22.50,24.00,40.00,22.50
405,43.00,12.50,26.00,31.00,23.75
406,71.50,75.00,48.00,43.00,41.25
407,14.50,,19.00,,
408,64.00,15.00,29.00,33.00,21.25
409,61.50,60.00,44.00,29.00,21.25
410,70.50,27.50,46.00,52.00,25.00
411,64.50,70.00,44.00,44.00,27.50
412,70.00,65.00,44.00,30.00,57.50
413,63.50,50.00,36.00,44.00,25.00
414,70.00,25.00,37.00,46.00,31.25
415,72.50,55.00,50.00,35.00,36.25
416,74.00,22.50,38.00,40.00,51.25
417,64.50,42.50,35.00,39.00,23.75
418,79.50,42.50,42.00,53.00,65.00
419,78.50,70.00,47.00,57.00,55.00
420,60.50,27.50,26.00,29.00,20.00
421,72.00,45.00,44.00,41.00,45.00
422,53.00,17.50,24.00,35.00,15.00
423,70.00,30.00,21.00,32.00,35.00
424,67.00,55.00,33.00,44.00,18.75
425,54.50,27.50,33.00,31.00,40.00
426,60.00,25.00,29.00,44.00,22.50
427,57.00,25.00,20.00,35.00,27.50
428,77.50,52.50,58.00,58.00,65.00
429,73.00,42.50,32.00,45.00,22.50
430,74.00,27.50,38.00,52.00,46.25
431,77.00,25.00,32.00,43.00,62.50
432,53.00,22.50,33.00,41.00,45.00
433,74.00,42.50,36.00,48.00,25.00
434,50.50,25.00,29.00,28.00,22.50
435,65.50,45.00,33.00,46.00,55.00
,14.50,2.50,18.00,17.00,12.50
,89.50,92.50,69.00,66.00,91.25
,75.00,90.00,51.00,49.00,78.75
,63.19,34.81,36.04,39.89,33.41
,74,25,29,#N/A,22.5
,65.25,30.00,34.00,#N/A,28.75
