ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษาฯ (02),ภาษาอังกฤษ (03)
143,58.50,20.00,34.00,35.00,26.00
144,47.50,52.50,44.00,49.00,32.00
145,60.50,25.00,38.00,43.00,20.00
146,83.00,50.00,49.00,46.00,40.00
147,60.00,25.00,38.00,37.00,25.00
148,48.50,27.50,40.00,45.00,27.00
149,47.50,32.50,37.00,34.00,24.00
150,78.50,80.00,55.00,52.00,34.00
151,46.50,20.00,38.00,35.00,18.00
152,,,,,
153,,17.50,,36.00,22.00
154,42.50,40.00,36.00,47.00,23.00
155,64.50,40.00,39.00,54.00,31.00
156,55.50,50.00,41.00,45.00,27.00
157,71.00,35.00,41.00,51.00,65.00
158,70.50,52.50,61.00,52.00,79.00
159,76.00,35.00,40.00,56.00,77.00
160,42.00,25.00,32.00,33.00,18.00
161,71.50,67.50,47.00,39.00,79.00
162,44.00,42.50,32.00,48.00,24.00
163,46.00,37.50,40.00,42.00,21.00
164,71.00,55.00,52.00,57.00,30.00
165,38.00,25.00,20.00,34.00,25.00
166,79.00,37.50,53.00,55.00,62.00
167,76.00,22.50,37.00,44.00,27.00
168,36.00,25.00,30.00,30.00,21.00
169,54.00,17.50,32.00,33.00,15.00
170,37.50,25.00,31.00,39.00,19.00
171,79.00,87.50,52.00,53.00,65.00
172,64.00,45.00,41.00,42.00,30.00
173,73.50,47.50,45.00,50.00,29.00
174,60.00,15.00,35.00,50.00,54.00
175,44.50,25.00,23.00,34.00,26.00
176,72.50,72.50,45.00,48.00,30.00
177,40.00,20.00,32.00,34.00,14.00
178,57.00,37.50,35.00,44.00,21.00
179,54.00,25.00,30.00,50.00,16.00
180,63.50,27.50,36.00,42.00,18.00
181,60.00,30.00,49.00,46.00,48.00
182,66.50,85.00,49.00,50.00,54.00
183,61.00,30.00,35.00,38.00,27.00
184,38.00,27.50,24.00,20.00,19.00
185,45.00,15.00,26.00,38.00,21.00
186,68.50,42.50,48.00,41.00,31.00
187,74.50,60.00,55.00,42.00,41.00
188,33.50,27.50,22.00,33.00,23.00
189,69.50,42.50,40.00,47.00,32.00
190,54.50,22.50,44.00,33.00,27.00
191,71.50,22.50,40.00,36.00,34.00
192,26.00,10.00,32.00,27.00,25.00
193,51.50,25.00,37.00,35.00,16.00
194,61.00,27.50,35.00,45.00,33.00
195,77.50,65.00,57.00,50.00,63.00
196,58.50,45.00,42.00,47.00,23.00
197,74.50,70.00,47.00,44.00,41.00
198,69.50,70.00,50.00,52.00,24.00
199,75.00,82.50,63.00,46.00,34.00
200,71.00,55.00,49.00,47.00,44.00
201,66.00,62.50,32.00,50.00,38.00
202,74.00,50.00,38.00,41.00,38.00
203,58.00,30.00,32.00,37.00,35.00
204,62.50,37.50,29.00,50.00,25.00
205,61.50,30.00,38.00,42.00,33.00
206,56.50,45.00,35.00,39.00,34.00
207,60.00,25.00,42.00,53.00,28.00
208,67.50,47.50,55.00,45.00,45.00
209,61.00,30.00,35.00,40.00,28.00
210,56.50,22.50,31.00,36.00,26.00
211,36.00,17.50,31.00,31.00,19.00
212,72.50,37.50,43.00,59.00,27.00
213,53.50,27.50,34.00,37.00,20.00
214,56.00,17.50,33.00,30.00,27.00
215,63.00,27.50,42.00,39.00,30.00
216,49.00,27.50,34.00,38.00,23.00
217,49.50,25.00,32.00,38.00,26.00
218,26.00,22.50,26.00,36.00,19.00
219,77.00,55.00,59.00,50.00,49.00
220,47.50,25.00,31.00,39.00,31.00
221,46.00,25.00,29.00,42.00,17.00
222,37.50,30.00,25.00,31.00,13.00
223,61.50,25.00,35.00,32.00,25.00
224,45.00,35.00,30.00,39.00,16.00
225,42.50,22.50,25.00,42.00,22.00
226,56.50,52.50,43.00,40.00,20.00
227,47.50,27.50,20.00,32.00,25.00
228,68.50,37.50,47.00,46.00,23.00
229,50.00,12.50,40.00,44.00,26.00
