ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษา ศาสนาและวัฒนธรรม (02),สุขศึกษาและพลศึกษา (06),ศิลปะ (07),การงานอาชีพและเทคโนโลยี (08),ภาษาอังกฤษ (03)
93,61.00,27.50,38.00,41.00,60.00,43.00,52.00,38.00
94,70.00,60.00,49.00,48.00,50.00,33.00,52.00,46.00
95,41.00,15.00,30.00,28.00,58.75,28.00,56.00,18.00
96,,,,,,,,
97,33.50,20.00,28.00,28.00,55.00,25.00,34.00,12.00
98,69.50,17.50,29.00,42.00,71.25,47.00,54.00,41.00
99,73.50,15.00,38.00,34.00,56.25,34.00,54.00,30.00
100,73.50,27.50,40.00,49.00,62.50,35.00,62.00,26.00
101,68.50,35.00,54.00,35.00,61.25,40.00,70.00,35.00
102,66.50,32.50,39.00,30.00,67.50,45.00,52.00,27.00
103,53.50,40.00,45.00,50.00,57.50,31.00,52.00,21.00
104,62.50,30.00,48.00,61.00,63.75,53.00,66.00,38.00
105,53.00,12.50,33.00,38.00,52.50,33.00,66.00,13.00
106,49.00,27.50,41.00,42.00,58.75,42.00,64.00,22.00
107,49.50,15.00,25.00,24.00,36.25,35.00,52.00,17.00
108,54.50,12.50,27.00,23.00,53.75,37.00,38.00,16.00
109,46.00,25.00,35.00,26.00,35.00,36.00,44.00,19.00
110,54.50,25.00,33.00,37.00,62.50,37.00,64.00,30.00
111,47.00,20.00,45.00,48.00,61.25,47.00,62.00,38.00
112,36.50,12.50,29.00,27.00,52.50,41.00,50.00,15.00
113,55.50,30.00,27.00,39.00,46.25,39.00,52.00,27.00
114,55.00,20.00,33.00,35.00,65.00,25.00,58.00,26.00
115,66.50,22.50,37.00,49.00,66.25,40.00,60.00,17.00
116,39.50,10.00,20.00,33.00,58.75,43.00,50.00,24.00
117,59.50,12.50,43.00,45.00,53.75,40.00,68.00,17.00
118,74.50,30.00,63.00,55.00,76.25,37.00,64.00,37.00
119,67.50,17.50,48.00,56.00,63.75,40.00,52.00,51.00
120,55.50,10.00,29.00,28.00,35.00,40.00,54.00,24.00
121,68.00,17.50,21.00,46.00,61.25,37.00,44.00,18.00
122,65.50,20.00,39.00,50.00,73.75,46.00,74.00,25.00
123,60.50,27.50,42.00,42.00,65.00,41.00,66.00,23.00
124,67.50,12.50,36.00,48.00,58.75,42.00,54.00,36.00
125,54.00,20.00,30.00,41.00,52.50,26.00,52.00,23.00
126,63.00,40.00,42.00,38.00,61.25,35.00,62.00,28.00
127,83.50,57.50,61.00,62.00,71.25,49.00,72.00,48.00
128,67.00,17.50,41.00,43.00,50.00,36.00,62.00,33.00
129,72.50,20.00,40.00,46.00,70.00,38.00,66.00,39.00
