ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษา ศาสนาและวัฒนธรรม (02),สุขศึกษาและพลศึกษา (06),ศิลปะ (07),การงานอาชีพและเทคโนโลยี (08),ภาษาอังกฤษ (03)
406,56.50,27.50,26.00,39.00,55.00,25.00,54.00,16.00
407,55.00,12.50,26.00,28.00,58.75,36.00,44.00,14.00
408,38.00,25.00,24.00,31.00,38.75,39.00,40.00,17.00
409,63.00,45.00,55.00,42.00,63.75,40.00,64.00,45.00
410,38.00,17.50,33.00,39.00,58.75,28.00,68.00,24.00
411,53.50,5.00,36.00,30.00,51.25,41.00,40.00,27.00
412,66.50,15.00,42.00,47.00,48.75,41.00,48.00,42.00
413,69.00,57.50,62.00,61.00,66.25,40.00,68.00,45.00
414,41.50,15.00,20.00,32.00,46.25,29.00,40.00,13.00
415,62.50,12.50,27.00,37.00,50.00,33.00,52.00,32.00
416,68.50,20.00,37.00,53.00,60.00,34.00,62.00,24.00
417,26.00,7.50,19.00,24.00,31.25,31.00,46.00,14.00
418,81.50,67.50,56.00,67.00,78.75,40.00,64.00,79.00
419,64.00,42.50,45.00,50.00,68.75,47.00,72.00,38.00
420,24.00,7.50,20.00,21.00,36.25,38.00,44.00,18.00
421,37.00,7.50,30.00,35.00,61.25,23.00,44.00,26.00
422,45.00,10.00,28.00,27.00,45.00,31.00,24.00,25.00
423,73.00,30.00,48.00,47.00,62.50,39.00,70.00,52.00
424,52.00,20.00,32.00,45.00,58.75,46.00,58.00,22.00
425,63.50,32.50,47.00,52.00,70.00,35.00,52.00,44.00
426,53.00,65.00,46.00,47.00,73.75,44.00,44.00,29.00
427,48.50,22.50,34.00,28.00,61.25,26.00,36.00,20.00
428,61.00,42.50,30.00,41.00,68.75,33.00,62.00,50.00
429,72.50,42.50,49.00,51.00,66.25,49.00,60.00,46.00
430,75.50,82.50,57.00,55.00,68.75,40.00,62.00,60.00
431,45.00,5.00,37.00,32.00,52.50,38.00,56.00,20.00
432,45.00,17.50,30.00,37.00,52.50,30.00,56.00,27.00
433,50.00,20.00,29.00,36.00,58.75,36.00,64.00,15.00
434,64.00,12.50,32.00,37.00,55.00,28.00,60.00,27.00
435,63.00,7.50,30.00,45.00,65.00,26.00,44.00,23.00
436,49.00,22.50,29.00,36.00,53.75,39.00,62.00,19.00
437,57.00,42.50,38.00,43.00,52.50,37.00,64.00,21.00
438,47.00,30.00,35.00,51.00,43.75,36.00,60.00,26.00
439,54.50,50.00,41.00,33.00,53.75,46.00,66.00,28.00
440,25.00,10.00,26.00,34.00,43.75,31.00,50.00,23.00
441,66.50,40.00,45.00,39.00,68.75,38.00,66.00,34.00
442,52.00,20.00,31.00,34.00,45.00,44.00,20.00,29.00
443,64.00,60.00,46.00,48.00,65.00,37.00,68.00,23.00
444,53.00,7.50,34.00,46.00,53.75,37.00,66.00,12.00
445,66.50,17.50,39.00,40.00,70.00,27.00,62.00,24.00
446,53.50,15.00,29.00,34.00,48.75,26.00,52.00,22.00
447,67.00,55.00,56.00,51.00,60.00,46.00,58.00,48.00
448,65.50,30.00,37.00,45.00,56.25,41.00,58.00,32.00
449,49.50,7.50,26.00,29.00,50.00,28.00,42.00,20.00
450,65.00,15.00,37.00,47.00,65.00,35.00,60.00,20.00
451,60.00,20.00,38.00,38.00,45.00,32.00,50.00,37.00
452,56.00,15.00,38.00,35.00,60.00,30.00,58.00,15.00
453,68.00,40.00,46.00,52.00,66.25,34.00,58.00,32.00
454,77.00,40.00,51.00,60.00,66.25,52.00,58.00,59.00
455,,,,,,,,
456,67.00,25.00,36.00,34.00,57.50,41.00,54.00,21.00
457,50.00,25.00,48.00,47.00,55.00,47.00,64.00,20.00
458,27.50,10.00,24.00,22.00,33.75,27.00,48.00,19.00
459,63.50,25.00,46.00,39.00,71.25,43.00,74.00,35.00
460,56.50,17.50,42.00,52.00,63.75,37.00,52.00,23.00
461,58.50,17.50,34.00,32.00,62.50,32.00,58.00,19.00
,,,,,,,,
,23.00,2.50,18.00,19.00,27.50,13.00,12.00,9.00
,84.50,100.00,74.00,68.00,83.75,61.00,82.00,79.00
,61.50,97.50,56.00,49.00,56.25,48.00,70.00,70.00
,58.45,28.91,38.34,41.03,57.96,37.41,55.41,28.29
,63,20,39,46,58.75,37,58,20
,60.00,22.50,37.00,41.00,58.75,37.00,56.00,26.00
