ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษา ศาสนาและวัฒนธรรม (02),สุขศึกษาและพลศึกษา (06),ศิลปะ (07),การงานอาชีพและเทคโนโลยี (08),ภาษาอังกฤษ (03)
107,69.50,62.50,42.00,45.00,78.75,45.50,44.00,49.00
108,57.00,20.00,43.00,37.50,57.50,45.50,60.00,25.00
109,64.00,7.50,28.00,30.63,71.25,36.50,54.00,26.00
110,67.50,22.50,51.00,43.75,75.00,30.50,64.00,29.00
111,74.50,15.00,40.00,31.88,56.25,44.00,54.00,34.00
112,54.00,17.50,39.00,23.13,65.00,30.50,50.00,21.00
113,46.50,22.50,29.00,35.00,75.00,30.00,64.00,29.00
114,52.00,20.00,34.00,40.63,77.50,27.50,54.00,20.00
115,38.50,12.50,29.00,28.13,61.25,22.00,14.00,16.00
116,26.00,12.50,20.00,23.75,62.50,17.50,28.00,15.00
117,44.50,20.00,24.00,20.00,63.75,26.50,50.00,13.00
118,41.00,20.00,27.00,33.75,65.00,33.00,52.00,27.00
119,38.50,10.00,29.00,34.38,55.00,29.00,54.00,21.00
120,53.00,25.00,20.00,34.38,77.50,27.00,50.00,14.00
121,35.50,12.50,24.00,20.63,50.00,25.00,52.00,17.00
122,46.00,17.50,29.00,30.00,55.00,27.00,48.00,19.00
123,66.50,12.50,33.00,33.13,65.00,34.50,60.00,30.00
124,85.50,82.50,63.00,59.38,75.00,44.50,66.00,79.00
125,73.50,27.50,45.00,39.38,66.25,42.50,56.00,32.00
126,45.00,20.00,32.00,30.00,40.00,22.50,36.00,24.00
127,33.50,17.50,20.00,31.88,65.00,12.50,36.00,15.00
128,65.00,20.00,30.00,31.25,65.00,33.00,62.00,28.00
129,65.50,37.50,43.00,38.75,76.25,34.50,66.00,37.00
130,45.00,27.50,31.00,25.63,66.25,31.00,44.00,24.00
131,66.50,35.00,43.00,36.25,75.00,39.00,58.00,30.00
132,55.50,20.00,40.00,40.00,72.50,27.00,62.00,22.00
133,28.50,15.00,33.00,30.00,60.00,29.50,44.00,20.00
134,76.50,65.00,49.00,53.75,85.00,37.50,60.00,40.00
135,53.00,30.00,35.00,36.88,62.50,29.00,58.00,26.00
136,51.50,20.00,20.00,41.88,66.25,33.50,68.00,29.00
137,57.00,25.00,38.00,33.13,58.75,31.00,52.00,32.00
138,37.50,15.00,36.00,31.25,62.50,24.00,38.00,22.00
139,65.00,50.00,41.00,37.50,75.00,33.00,58.00,22.00
140,73.50,35.00,54.00,46.25,77.50,44.00,68.00,51.00
141,67.00,22.50,29.00,30.00,67.50,28.50,56.00,33.00
142,56.50,27.50,39.00,45.63,80.00,39.50,58.00,31.00
143,76.50,62.50,58.00,59.38,75.00,40.00,70.00,56.00
144,54.50,22.50,34.00,40.63,71.25,28.50,52.00,22.00
145,,,,,,,,
146,63.50,15.00,29.00,30.63,67.50,35.00,60.00,18.00
147,71.00,57.50,57.00,51.25,70.00,40.00,74.00,34.00
148,71.50,45.00,54.00,55.63,76.25,29.00,72.00,44.00
149,68.00,22.50,44.00,31.88,73.75,32.50,70.00,29.00
150,64.50,12.50,38.00,36.25,71.25,31.50,64.00,26.00
151,51.50,10.00,33.00,30.00,53.75,25.00,36.00,21.00
152,69.50,27.50,60.00,56.25,67.50,46.00,64.00,27.00
153,69.50,17.50,35.00,41.25,61.25,33.00,62.00,29.00
154,53.50,10.00,20.00,30.63,76.25,36.50,54.00,23.00
155,37.50,15.00,25.00,16.25,41.25,27.00,32.00,18.00
156,64.50,50.00,42.00,43.13,78.75,35.50,76.00,49.00
157,47.50,5.00,25.00,25.00,56.25,26.00,58.00,16.00
158,49.00,20.00,29.00,35.00,75.00,35.00,44.00,20.00
159,50.00,10.00,35.00,30.63,75.00,48.00,42.00,17.00
160,81.50,50.00,65.00,43.75,77.50,50.50,68.00,29.00
161,62.00,22.50,45.00,41.88,68.75,40.00,68.00,28.00
162,50.50,32.50,25.00,38.75,68.75,29.50,52.00,24.00
163,42.00,17.50,34.00,25.63,60.00,25.50,38.00,19.00
164,50.50,25.00,30.00,30.00,67.50,31.00,46.00,24.00
165,51.00,30.00,45.00,33.13,73.75,41.50,60.00,63.00
166,85.50,60.00,65.00,47.50,81.25,50.00,70.00,70.00
167,51.50,22.50,30.00,27.50,70.00,29.50,62.00,21.00
168,50.50,12.50,31.00,36.25,65.00,19.50,60.00,19.00
169,73.00,32.50,33.00,30.63,78.75,26.50,48.00,19.00
170,70.00,25.00,41.00,46.88,72.50,30.50,68.00,25.00
171,67.00,20.00,37.00,43.75,72.50,30.50,64.00,82.00
172,56.00,25.00,24.00,24.38,61.25,27.50,54.00,47.00
173,70.00,20.00,35.00,50.00,73.75,45.50,58.00,36.00
174,61.50,30.00,24.00,43.75,77.50,20.00,56.00,18.00
175,42.00,12.50,35.00,32.50,66.25,27.00,62.00,19.00
176,16.00,15.00,23.00,20.00,52.50,22.50,38.00,14.00
177,68.00,7.50,37.00,38.75,73.75,34.50,60.00,31.00
178,57.00,32.50,37.00,36.88,72.50,27.00,74.00,25.00
179,50.00,12.50,30.00,23.13,77.50,31.00,66.00,17.00
180,49.00,17.50,23.00,37.50,57.50,28.00,34.00,13.00
181,51.50,7.50,28.00,33.13,60.00,29.50,66.00,23.00
182,53.50,15.00,18.00,33.75,62.50,34.50,42.00,20.00
183,67.50,15.00,37.00,52.50,73.75,45.00,70.00,25.00
184,40.00,10.00,23.00,28.13,41.25,32.00,44.00,21.00
185,65.50,50.00,49.00,42.50,76.25,38.50,64.00,69.00
186,52.00,20.00,27.00,33.13,62.50,32.50,52.00,16.00
187,48.00,17.50,34.00,42.50,80.00,26.00,48.00,33.00
188,58.50,22.50,28.00,29.38,73.75,39.00,52.00,25.00
189,67.50,25.00,40.00,40.63,57.50,36.50,62.00,24.00
190,48.00,12.50,29.00,34.38,53.75,34.00,62.00,21.00
191,56.50,15.00,21.00,30.63,62.50,33.50,62.00,25.00
192,69.50,22.50,40.00,36.25,63.75,31.50,64.00,24.00
193,76.50,40.00,52.00,49.38,73.75,43.00,60.00,40.00
194,78.50,32.50,43.00,51.25,80.00,46.50,48.00,47.00
195,35.50,20.00,36.00,30.00,53.75,26.50,48.00,26.00
196,75.50,35.00,51.00,47.50,75.00,44.50,70.00,46.00
197,59.00,22.50,33.00,29.38,60.00,40.50,64.00,25.00
198,51.50,27.50,29.00,25.63,57.50,34.50,50.00,16.00
199,52.50,17.50,29.00,32.50,63.75,32.50,50.00,25.00
200,76.00,22.50,41.00,47.50,76.25,49.00,60.00,45.00
201,53.00,32.50,26.00,22.50,62.50,37.50,62.00,32.00
202,69.50,45.00,48.00,51.25,71.25,37.00,66.00,31.00
203,67.00,20.00,29.00,32.50,61.25,22.00,62.00,20.00
204,62.50,20.00,36.00,49.38,75.00,37.00,52.00,37.00
205,47.00,25.00,37.00,33.75,76.25,33.00,58.00,29.00
206,45.00,10.00,34.00,33.75,62.50,40.50,50.00,23.00
207,75.00,75.00,63.00,60.63,83.75,43.50,74.00,73.00
208,62.50,42.50,52.00,45.63,67.50,50.00,64.00,40.00
209,48.50,22.50,32.00,46.25,76.25,33.50,50.00,26.00
210,68.50,17.50,42.00,50.00,76.25,26.00,56.00,32.00
211,82.00,90.00,69.00,53.75,88.75,45.00,76.00,80.00
212,64.50,22.50,36.00,33.75,82.50,36.00,56.00,38.00
213,55.50,15.00,31.00,35.00,53.75,32.50,62.00,21.00
214,44.50,7.50,27.00,34.38,56.25,40.00,54.00,20.00
215,61.00,30.00,43.00,44.38,70.00,54.50,66.00,34.00
216,66.00,25.00,33.00,33.13,70.00,30.00,50.00,20.00
217,61.00,12.50,30.00,45.00,70.00,27.00,52.00,31.00
218,76.00,60.00,65.00,53.13,77.50,42.00,66.00,44.00
219,44.00,15.00,25.00,31.88,68.75,21.50,68.00,24.00
220,72.50,10.00,37.00,29.38,77.50,26.00,54.00,44.00
221,39.00,12.50,25.00,31.88,68.75,26.50,50.00,25.00
222,50.50,7.50,22.00,18.13,66.25,36.50,62.00,24.00
223,53.00,12.50,34.00,38.13,66.25,43.50,54.00,19.00
224,59.00,25.00,44.00,38.13,68.75,29.50,68.00,36.00
225,72.00,20.00,34.00,33.75,75.00,34.50,68.00,32.00
226,38.00,12.50,32.00,16.88,66.25,25.00,52.00,21.00
227,39.00,20.00,37.00,33.75,62.50,21.50,46.00,18.00
228,35.00,22.50,27.00,33.13,60.00,24.50,42.00,14.00
229,70.50,42.50,39.00,45.00,71.25,35.50,66.00,39.00
230,47.50,22.50,32.00,25.00,73.75,35.00,48.00,27.00
231,71.50,10.00,35.00,40.63,68.75,37.50,60.00,31.00
232,71.00,22.50,46.00,44.38,65.00,40.00,68.00,33.00
233,65.00,17.50,29.00,41.88,61.25,34.50,62.00,21.00
234,61.00,17.50,38.00,38.75,71.25,47.00,72.00,28.00
235,58.50,15.00,35.00,28.13,68.75,24.50,62.00,26.00
236,66.00,15.00,33.00,34.38,57.50,33.50,64.00,35.00
237,45.50,17.50,22.00,31.25,46.25,32.00,62.00,23.00
238,61.50,27.50,29.00,39.38,76.25,44.50,70.00,36.00
239,47.50,15.00,24.00,30.00,65.00,21.50,50.00,20.00
240,42.00,5.00,30.00,20.63,68.75,22.00,32.00,30.00
241,62.00,35.00,46.00,38.75,71.25,39.50,64.00,43.00
242,60.00,30.00,22.00,42.50,70.00,39.00,68.00,16.00
243,36.00,12.50,18.00,25.00,50.00,22.50,44.00,26.00
244,69.50,45.00,40.00,58.75,70.00,39.50,68.00,43.00
245,25.50,15.00,27.00,35.63,61.25,34.50,52.00,14.00
246,75.50,37.50,40.00,51.88,65.00,26.00,66.00,51.00
247,36.00,12.50,30.00,37.50,56.25,29.50,56.00,25.00
248,56.00,22.50,23.00,26.88,45.00,24.50,50.00,23.00
249,37.00,17.50,29.00,28.75,58.75,31.50,58.00,24.00
250,63.00,65.00,41.00,46.25,58.75,43.50,66.00,54.00
251,61.00,12.50,34.00,30.00,71.25,33.50,56.00,17.00
252,65.00,17.50,33.00,30.63,61.25,41.00,64.00,63.00
253,57.00,15.00,33.00,36.88,70.00,37.00,54.00,30.00
254,58.50,25.00,46.00,43.75,82.50,43.50,52.00,33.00
255,55.50,32.50,31.00,33.13,57.50,26.50,64.00,33.00
256,66.50,27.50,24.00,35.00,75.00,31.50,70.00,64.00
257,52.50,20.00,35.00,31.88,76.25,28.00,54.00,24.00
258,55.50,22.50,31.00,33.75,65.00,40.00,58.00,36.00
259,55.00,27.50,25.00,36.25,53.75,25.50,54.00,18.00
260,55.50,27.50,26.00,30.00,67.50,24.50,58.00,22.00
261,69.50,22.50,33.00,36.25,63.75,25.00,56.00,27.00
262,61.00,20.00,40.00,38.75,71.25,31.00,68.00,50.00
263,82.50,80.00,55.00,52.50,82.50,43.50,68.00,53.00
264,46.50,25.00,36.00,38.13,58.75,26.50,54.00,15.00
265,63.50,22.50,28.00,28.13,72.50,35.00,58.00,26.00
266,52.00,20.00,20.00,37.50,65.00,24.50,58.00,21.00
267,44.50,12.50,21.00,35.63,45.00,23.50,52.00,22.00
268,46.50,32.50,24.00,36.88,66.25,31.50,54.00,33.00
269,59.50,20.00,29.00,33.75,65.00,41.50,54.00,23.00
270,78.50,45.00,56.00,41.88,71.25,45.50,58.00,40.00
271,33.50,15.00,18.00,30.63,55.00,28.00,46.00,16.00
272,69.50,20.00,31.00,42.50,80.00,37.50,66.00,30.00
273,60.00,40.00,43.00,38.75,66.25,48.50,56.00,17.00
274,68.00,27.50,38.00,42.50,72.50,45.50,60.00,35.00
275,75.50,47.50,49.00,51.25,58.75,43.00,66.00,41.00
276,70.00,50.00,37.00,37.50,65.00,27.00,60.00,34.00
277,66.00,25.00,36.00,48.75,62.50,23.50,66.00,19.00
278,64.00,20.00,36.00,47.50,76.25,49.00,76.00,39.00
279,78.00,90.00,62.00,48.13,73.75,40.00,70.00,54.00
280,55.50,22.50,29.00,36.25,63.75,36.50,62.00,28.00
281,69.50,17.50,25.00,40.63,73.75,37.00,72.00,24.00
282,78.00,95.00,67.00,52.50,80.00,47.50,54.00,59.00
283,74.50,32.50,54.00,46.25,78.75,47.00,70.00,50.00
284,53.50,42.50,33.00,31.25,62.50,28.00,62.00,22.00
285,24.50,17.50,18.00,36.88,56.25,25.00,42.00,25.00
286,70.00,32.50,48.00,53.75,83.75,35.50,70.00,33.00
287,65.00,40.00,40.00,52.50,85.00,45.00,66.00,32.00
288,60.50,10.00,31.00,41.88,71.25,37.00,72.00,31.00
289,73.00,25.00,33.00,47.50,63.75,36.00,70.00,40.00
290,42.00,25.00,28.00,31.25,57.50,32.50,50.00,16.00
291,55.00,7.50,27.00,26.88,72.50,30.50,52.00,24.00
292,48.00,10.00,24.00,35.63,68.75,28.50,42.00,17.00
293,46.50,12.50,,25.00,,,,18.00
294,47.50,17.50,29.00,32.50,48.75,42.50,44.00,25.00
295,58.00,10.00,35.00,28.75,48.75,33.00,56.00,25.00
296,55.50,12.50,25.00,35.00,76.25,27.50,48.00,27.00
297,44.00,10.00,26.00,32.50,70.00,30.00,50.00,26.00
298,48.00,22.50,24.00,24.38,56.25,25.50,48.00,27.00
299,61.00,37.50,30.00,34.38,68.75,26.00,56.00,26.00
300,30.50,27.50,20.00,28.75,62.50,30.00,50.00,22.00
301,63.50,7.50,38.00,39.38,73.75,33.00,66.00,19.00
302,62.00,12.50,30.00,35.63,76.25,49.00,54.00,30.00
303,19.00,12.50,31.00,20.00,66.25,16.00,38.00,14.00
304,72.00,47.50,47.00,56.88,61.25,49.50,62.00,46.00
305,53.50,22.50,24.00,38.13,75.00,35.50,54.00,28.00
306,59.50,20.00,19.00,41.88,62.50,32.00,54.00,19.00
307,70.50,30.00,38.00,33.75,68.75,36.00,56.00,41.00
308,49.50,25.00,17.00,23.13,71.25,36.50,54.00,26.00
309,59.50,25.00,26.00,36.25,58.75,42.00,56.00,24.00
310,66.00,7.50,28.00,37.50,80.00,35.00,64.00,27.00
311,42.00,17.50,26.00,29.38,66.25,25.00,48.00,25.00
312,51.50,20.00,37.00,60.00,76.25,46.00,66.00,26.00
313,35.00,12.50,30.00,25.63,73.75,34.50,56.00,30.00
314,63.50,55.00,42.00,46.88,76.25,44.00,66.00,47.00
315,60.50,22.50,41.00,38.75,67.50,27.50,62.00,51.00
316,43.50,15.00,27.00,20.63,66.25,34.00,60.00,45.00
317,75.00,20.00,46.00,55.63,77.50,54.00,66.00,64.00
318,63.50,27.50,48.00,51.88,70.00,39.50,64.00,30.00
319,33.00,15.00,28.00,16.25,47.50,22.50,14.00,14.00
320,62.00,12.50,31.00,33.75,71.25,32.50,58.00,30.00
321,26.00,17.50,26.00,31.25,52.50,27.50,58.00,22.00
322,47.50,15.00,28.00,34.38,68.75,19.50,46.00,35.00
323,55.50,30.00,40.00,36.25,71.25,30.50,58.00,28.00
324,52.00,17.50,22.00,30.63,61.25,26.00,56.00,31.00
325,51.00,12.50,31.00,23.75,61.25,35.00,40.00,22.00
326,,,,,,,,
327,86.50,82.50,74.00,53.75,66.25,41.00,72.00,92.00
328,66.50,22.50,40.00,52.50,75.00,38.00,78.00,34.00
329,42.50,12.50,34.00,32.50,62.50,28.50,46.00,22.00
330,61.00,27.50,33.00,34.38,48.75,35.00,60.00,23.00
331,63.00,57.50,59.00,43.13,77.50,37.50,66.00,36.00
332,70.00,27.50,52.00,57.50,82.50,40.00,66.00,38.00
333,63.50,47.50,28.00,49.38,73.75,29.50,54.00,30.00
334,36.00,12.50,22.00,20.00,76.25,26.00,52.00,26.00
335,46.50,12.50,24.00,29.38,60.00,27.50,62.00,19.00
336,51.50,17.50,34.00,31.88,47.50,37.00,60.00,22.00
337,65.00,20.00,33.00,40.63,62.50,32.50,56.00,26.00
338,23.50,15.00,32.00,24.38,50.00,23.50,40.00,16.00
339,59.50,27.50,44.00,28.13,68.75,38.00,60.00,42.00
340,73.50,40.00,56.00,52.50,76.25,35.00,70.00,67.00
341,43.00,17.50,19.00,25.00,57.50,27.00,50.00,19.00
342,64.00,27.50,35.00,41.88,76.25,46.50,62.00,40.00
343,48.00,12.50,32.00,30.63,53.75,32.00,54.00,20.00
344,64.00,12.50,32.00,38.75,76.25,42.50,70.00,37.00
345,54.00,20.00,36.00,28.75,73.75,26.00,62.00,30.00
346,,,,,,,,
347,54.00,20.00,36.00,32.50,67.50,40.00,56.00,30.00
348,44.50,22.50,29.00,36.25,57.50,32.00,56.00,29.00
349,49.00,15.00,25.00,31.88,61.25,36.50,44.00,33.00
350,83.50,77.50,60.00,56.25,78.75,41.50,62.00,64.00
351,50.50,20.00,27.00,29.38,57.50,41.00,52.00,37.00
352,52.00,20.00,35.00,35.00,72.50,27.50,56.00,35.00
353,,,,,,,,
354,62.50,30.00,38.00,50.00,60.00,24.50,54.00,32.00
355,43.50,17.50,24.00,30.63,65.00,32.50,62.00,22.00
356,69.00,17.50,32.00,39.38,58.75,41.00,54.00,18.00
357,75.00,42.50,48.00,41.25,75.00,30.50,74.00,45.00
358,59.50,32.50,40.00,33.75,70.00,29.00,52.00,27.00
359,,,,,,,,
360,67.50,15.00,42.00,53.13,76.25,40.50,62.00,55.00
361,45.00,22.50,26.00,29.38,60.00,28.00,58.00,35.00
362,55.00,15.00,38.00,25.63,76.25,32.50,48.00,42.00
363,56.50,17.50,23.00,30.00,60.00,32.00,64.00,14.00
364,66.00,27.50,36.00,32.50,52.50,20.50,46.00,29.00
365,53.50,12.50,20.00,20.00,73.75,41.00,72.00,26.00
366,46.50,22.50,25.00,36.88,65.00,30.50,38.00,21.00
367,52.50,22.50,43.00,43.75,73.75,43.50,64.00,60.00
368,68.50,30.00,54.00,58.13,75.00,31.00,64.00,34.00
369,64.50,17.50,36.00,43.13,72.50,25.00,68.00,35.00
370,73.00,30.00,35.00,43.13,68.75,42.00,62.00,57.00
371,66.50,27.50,40.00,47.50,72.50,27.00,52.00,28.00
372,57.50,25.00,39.00,24.38,57.50,21.50,52.00,25.00
373,57.50,42.50,35.00,38.75,67.50,39.50,56.00,32.00
374,55.00,17.50,28.00,38.75,77.50,32.00,60.00,30.00
375,34.00,17.50,16.00,20.63,51.25,22.00,50.00,15.00
376,61.00,32.50,36.00,35.00,73.75,40.00,52.00,44.00
377,62.00,60.00,36.00,39.38,72.50,28.00,56.00,51.00
378,61.00,50.00,49.00,46.88,62.50,36.00,62.00,40.00
379,42.50,17.50,28.00,28.13,65.00,21.00,56.00,23.00
380,49.00,17.50,39.00,50.63,75.00,37.50,58.00,50.00
381,63.00,22.50,35.00,38.13,56.25,41.00,60.00,44.00
382,65.50,27.50,36.00,43.75,57.50,43.00,50.00,46.00
383,39.50,17.50,24.00,26.25,50.00,30.00,40.00,23.00
384,70.50,27.50,42.00,40.63,68.75,35.00,66.00,55.00
385,63.50,25.00,38.00,40.00,75.00,41.00,64.00,31.00
386,65.00,35.00,47.00,39.38,80.00,40.50,54.00,33.00
387,56.00,45.00,37.00,36.88,72.50,36.00,62.00,47.00
388,60.50,32.50,37.00,34.38,76.25,45.50,58.00,17.00
389,62.50,50.00,37.00,40.00,68.75,37.50,70.00,39.00
390,46.00,22.50,28.00,31.25,62.50,33.50,58.00,22.00
391,52.50,20.00,30.00,28.75,63.75,26.50,58.00,27.00
392,62.00,35.00,35.00,36.88,73.75,35.50,50.00,47.00
393,72.00,10.00,36.00,34.38,77.50,34.50,74.00,33.00
394,73.00,17.50,35.00,41.25,71.25,44.50,64.00,50.00
395,65.00,27.50,34.00,38.13,76.25,39.50,64.00,34.00
396,,,,,,,,
397,53.50,20.00,22.00,28.75,57.50,22.50,56.00,19.00
398,72.50,55.00,30.00,36.88,81.25,41.00,62.00,45.00
399,75.50,57.50,62.00,49.38,90.00,38.00,60.00,48.00
400,,,,,,,,
401,66.50,20.00,25.00,43.75,66.25,39.50,66.00,26.00
402,82.50,32.50,60.00,46.88,67.50,52.50,68.00,37.00
403,49.50,17.50,39.00,31.88,57.50,40.50,52.00,36.00
404,50.00,22.50,27.00,19.38,73.75,20.00,56.00,15.00
405,66.00,27.50,42.00,46.25,75.00,30.00,72.00,25.00
406,66.00,45.00,41.00,38.13,81.25,53.50,64.00,34.00
407,64.00,47.50,41.00,43.13,77.50,31.50,76.00,35.00
408,26.50,12.50,20.00,29.38,60.00,16.00,26.00,22.00
409,55.50,25.00,35.00,36.25,61.25,28.50,58.00,23.00
410,44.50,30.00,22.00,21.25,50.00,26.00,36.00,32.00
