ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษา ศาสนาและวัฒนธรรม (02),สุขศึกษาและพลศึกษา (06),ศิลปะ (07),การงานอาชีพและเทคโนโลยี (08),ภาษาอังกฤษ (03)
1,67.50,15.00,36.00,42.50,60.00,36.50,60.00,27.00
2,76.00,72.50,58.00,45.00,76.25,39.00,64.00,61.00
3,62.50,30.00,47.00,60.00,73.75,59.50,74.00,29.00
4,40.00,27.50,29.00,26.88,67.50,39.00,58.00,29.00
5,52.50,7.50,34.00,38.75,65.00,28.50,54.00,26.00
6,67.00,22.50,36.00,40.63,67.50,33.50,50.00,46.00
7,61.00,12.50,32.00,46.25,70.00,35.00,68.00,28.00
8,48.50,7.50,26.00,30.63,51.25,28.50,58.00,18.00
9,43.50,10.00,24.00,30.63,71.25,29.00,50.00,24.00
10,39.00,27.50,29.00,35.00,73.75,38.00,36.00,24.00
11,48.00,37.50,47.00,45.63,78.75,36.00,56.00,33.00
12,65.50,12.50,32.00,31.25,78.75,30.50,58.00,37.00
13,71.50,92.50,51.00,52.50,72.50,39.50,70.00,69.00
14,74.00,35.00,37.00,44.38,83.75,45.00,72.00,47.00
15,69.50,20.00,37.00,49.38,72.50,42.50,60.00,22.00
16,64.00,27.50,35.00,35.63,72.50,34.00,60.00,21.00
17,54.00,20.00,28.00,32.50,72.50,36.50,56.00,22.00
18,68.50,35.00,49.00,32.50,73.75,24.00,58.00,34.00
19,46.00,20.00,39.00,38.75,68.75,35.00,46.00,32.00
20,55.50,47.50,52.00,43.75,61.25,26.50,64.00,38.00
21,67.00,12.50,26.00,36.88,75.00,32.00,52.00,40.00
22,48.50,27.50,24.00,30.63,72.50,42.50,64.00,15.00
23,72.00,22.50,42.00,37.50,67.50,40.50,66.00,51.00
24,38.50,15.00,32.00,31.88,58.75,27.50,40.00,12.00
25,76.00,37.50,35.00,51.25,87.50,36.00,72.00,41.00
26,61.00,25.00,32.00,51.25,66.25,33.50,58.00,31.00
27,31.50,7.50,26.00,35.00,57.50,30.00,42.00,22.00
28,43.00,10.00,37.00,29.38,66.25,27.50,54.00,38.00
29,60.00,30.00,30.00,33.13,48.75,30.00,56.00,22.00
30,60.50,30.00,25.00,37.50,58.75,44.50,56.00,20.00
31,68.00,17.50,46.00,54.38,86.25,41.00,68.00,35.00
32,71.50,37.50,47.00,48.13,77.50,38.00,48.00,34.00
33,69.50,30.00,43.00,41.25,77.50,31.00,58.00,16.00
34,60.00,20.00,25.00,33.75,76.25,39.50,64.00,20.00
35,65.00,27.50,50.00,51.88,71.25,39.00,66.00,46.00
36,74.00,55.00,48.00,37.50,75.00,38.00,60.00,47.00
37,55.50,5.00,29.00,32.50,73.75,28.50,62.00,22.00
38,66.00,35.00,43.00,46.88,70.00,27.50,56.00,40.00
39,56.50,12.50,36.00,35.63,67.50,36.00,60.00,23.00
40,69.50,45.00,51.00,63.13,80.00,48.50,68.00,33.00
41,69.00,12.50,38.00,36.88,75.00,42.00,54.00,14.00
42,66.50,55.00,35.00,33.75,82.50,46.00,68.00,81.00
43,77.50,20.00,37.00,43.75,75.00,30.50,58.00,35.00
44,63.00,5.00,30.00,28.75,71.25,26.00,72.00,28.00
45,66.00,12.50,30.00,48.13,55.00,40.00,58.00,34.00
46,24.50,22.50,18.00,30.63,56.25,21.50,36.00,15.00
47,52.50,10.00,30.00,27.50,62.50,30.50,56.00,18.00
48,48.50,35.00,37.00,40.00,73.75,31.50,62.00,29.00
49,55.50,27.50,41.00,39.38,70.00,35.50,58.00,25.00
50,33.50,17.50,32.00,28.75,41.25,20.00,64.00,25.00
51,30.50,22.50,35.00,31.88,58.75,35.00,62.00,18.00
52,45.00,27.50,31.00,41.88,63.75,42.00,58.00,20.00
53,66.50,20.00,33.00,30.63,76.25,35.50,56.00,30.00
54,,,,,,,,
55,34.50,10.00,17.00,36.88,58.75,30.00,52.00,28.00
56,43.00,20.00,31.00,33.75,63.75,35.00,56.00,20.00
57,67.00,62.50,52.00,39.38,77.50,40.00,62.00,40.00
58,68.00,20.00,27.00,41.88,77.50,37.50,62.00,49.00
59,54.50,42.50,40.00,36.25,70.00,37.00,50.00,22.00
60,31.50,7.50,21.00,23.75,51.25,25.00,46.00,12.00
61,77.00,35.00,52.00,43.75,72.50,36.50,80.00,56.00
62,61.50,25.00,41.00,45.63,72.50,26.00,68.00,26.00
63,87.00,100.00,78.00,59.38,81.25,36.00,76.00,81.00
64,54.00,35.00,28.00,37.50,70.00,30.00,48.00,27.00
65,61.50,27.50,35.00,41.88,68.75,28.00,50.00,40.00
66,70.00,30.00,38.00,50.63,83.75,34.00,64.00,59.00
67,16.50,12.50,20.00,17.50,27.50,18.00,36.00,19.00
68,39.50,22.50,26.00,35.00,68.75,37.50,42.00,20.00
69,61.50,20.00,31.00,41.25,63.75,46.00,64.00,62.00
70,73.50,17.50,42.00,51.88,67.50,46.50,70.00,33.00
71,62.00,27.50,39.00,37.50,76.25,38.50,58.00,62.00
72,,,,,,,,
73,68.50,40.00,35.00,39.38,65.00,29.50,60.00,25.00
74,56.50,15.00,26.00,35.00,62.50,30.50,46.00,24.00
75,49.50,20.00,26.00,35.00,51.25,28.50,58.00,23.00
76,68.00,25.00,46.00,46.25,75.00,30.50,70.00,39.00
77,34.00,17.50,20.00,20.00,70.00,21.00,48.00,21.00
78,67.00,52.50,42.00,45.00,76.25,44.00,60.00,63.00
79,56.50,7.50,22.00,41.25,68.75,36.50,62.00,35.00
80,57.50,10.00,36.00,36.25,66.25,27.00,52.00,14.00
81,61.00,25.00,35.00,31.25,56.25,25.00,72.00,26.00
82,44.50,12.50,27.00,26.25,60.00,26.50,54.00,22.00
83,52.50,27.50,41.00,37.50,66.25,32.00,68.00,40.00
84,31.50,22.50,28.00,33.13,41.25,32.50,54.00,12.00
85,54.50,27.50,26.00,35.63,63.75,41.00,62.00,27.00
86,53.50,17.50,43.00,38.13,67.50,34.00,56.00,27.00
87,73.00,12.50,33.00,33.13,66.25,34.50,52.00,49.00
88,53.00,17.50,28.00,35.63,62.50,30.00,50.00,21.00
89,65.50,20.00,39.00,40.00,72.50,36.00,64.00,35.00
90,63.00,10.00,38.00,34.38,75.00,24.50,70.00,27.00
91,75.00,22.50,26.00,43.75,70.00,32.50,64.00,43.00
92,65.50,17.50,33.00,50.00,62.50,39.00,50.00,39.00
93,32.50,22.50,29.00,28.13,51.25,22.00,36.00,18.00
94,77.50,65.00,47.00,48.75,76.25,55.00,78.00,66.00
95,84.50,67.50,65.00,53.13,73.75,44.50,54.00,61.00
96,69.50,17.50,28.00,44.38,63.75,36.50,54.00,23.00
97,55.50,17.50,34.00,28.13,70.00,25.50,42.00,43.00
98,39.50,20.00,32.00,25.00,58.75,29.50,42.00,24.00
99,58.50,42.50,39.00,28.13,71.25,33.50,58.00,9.00
100,74.00,42.50,49.00,46.25,73.75,41.00,68.00,42.00
101,84.50,90.00,77.00,56.88,76.25,51.00,66.00,74.00
102,54.50,15.00,28.00,27.50,52.50,36.00,52.00,21.00
103,42.00,17.50,31.00,28.13,53.75,20.00,56.00,15.00
104,66.00,65.00,45.00,47.50,75.00,35.00,58.00,28.00
105,37.00,17.50,39.00,31.88,78.75,40.50,44.00,26.00
106,61.50,17.50,27.00,26.88,62.50,32.00,52.00,37.00
