ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษาฯ (02),ภาษาอังกฤษ (03)
1,79.50,30.00,26.35,52.00,55.00
2,68.00,32.50,38.80,49.00,36.25
3,74.50,82.50,66.20,47.00,46.25
4,77.00,32.50,39.70,48.00,77.50
5,68.00,75.00,68.15,42.00,83.75
6,24.50,20.00,30.45,28.00,16.25
7,75.00,72.50,64.25,55.00,61.25
8,72.50,10.00,34.35,38.00,35.00
9,79.00,42.50,54.65,54.00,53.75
10,64.00,70.00,64.40,42.00,53.75
11,42.00,42.50,60.50,35.00,37.50
12,51.50,52.50,43.95,41.00,52.50
13,55.50,15.00,13.00,35.00,18.75
14,73.00,32.50,24.75,35.00,50.00
15,52.00,65.00,38.45,41.00,31.25
16,,,,,
17,64.00,22.50,42.35,52.00,42.50
18,,,,,
19,53.50,20.00,28.30,34.00,26.25
20,51.00,20.00,32.05,30.00,26.25
21,66.50,57.50,48.95,52.00,22.50
22,57.00,25.00,24.20,40.00,28.75
23,56.00,35.00,18.15,38.00,21.25
24,66.00,50.00,51.60,56.00,42.50
25,49.50,20.00,27.60,39.00,63.75
26,38.50,27.50,36.50,43.00,16.25
27,75.50,35.00,55.35,51.00,71.25
28,55.50,12.50,29.90,36.00,42.50
29,64.50,45.00,31.50,42.00,27.50
30,48.50,5.00,18.35,30.00,12.50
31,42.50,30.00,28.10,37.00,30.00
32,35.50,12.50,25.65,27.00,22.50
33,75.00,25.00,29.55,41.00,25.00
34,34.50,15.00,21.55,15.00,25.00
35,70.00,17.50,30.45,40.00,33.75
36,59.00,20.00,24.40,42.00,28.75
37,75.00,27.50,43.80,49.00,51.25
38,58.00,30.00,42.00,34.00,15.00
39,62.50,35.00,66.55,42.00,41.25
40,66.00,15.00,35.60,41.00,25.00
41,50.00,17.50,25.10,31.00,28.75
42,53.00,10.00,28.85,36.00,16.25
43,58.50,35.00,39.35,37.00,31.25
44,73.50,95.00,58.35,39.00,48.75
45,59.50,50.00,33.45,43.00,23.75
46,51.50,27.50,30.45,37.00,20.00
47,83.50,77.50,74.90,45.00,67.50
48,52.50,25.00,25.80,35.00,26.25
49,78.50,80.00,48.75,51.00,61.25
50,58.50,35.00,37.00,42.00,37.50
51,45.00,22.50,30.80,31.00,21.25
52,70.50,75.00,74.35,54.00,75.00
53,75.50,27.50,35.25,47.00,70.00
54,54.50,22.50,26.70,31.00,16.25
55,54.50,10.00,23.85,44.00,48.75
56,38.00,7.50,29.55,42.00,21.25
57,68.00,27.50,37.20,35.00,65.00
58,76.50,57.50,64.05,53.00,66.25
59,68.00,42.50,51.80,42.00,43.75
60,35.50,25.00,16.20,26.00,22.50
61,72.50,20.00,32.75,37.00,36.25
62,72.00,65.00,76.00,61.00,55.00
63,68.50,32.50,49.65,45.00,47.50
64,68.00,75.00,58.70,41.00,58.75
65,71.50,37.50,53.40,49.00,36.25
66,58.00,32.50,27.05,37.00,27.50
67,65.50,92.50,66.55,46.00,27.50
68,59.00,37.50,32.40,28.00,28.75
69,59.00,27.50,24.20,26.00,33.75
70,62.50,32.50,30.10,37.00,22.50
71,63.50,17.50,33.10,35.00,25.00
72,63.00,15.00,23.85,43.00,35.00
73,64.50,32.50,53.55,48.00,55.00
74,56.00,22.50,48.75,45.00,53.75
75,77.00,85.00,40.40,46.00,45.00
76,53.50,25.00,29.90,30.00,21.25
77,54.50,52.50,32.95,38.00,22.50
78,71.50,32.50,43.60,48.00,35.00
79,74.00,60.00,55.35,42.00,22.50
80,68.50,25.00,32.75,40.00,22.50
81,61.00,32.50,41.30,43.00,41.25
82,71.50,77.50,69.05,57.00,53.75
83,68.00,25.00,34.00,46.00,30.00
84,83.50,57.50,53.75,51.00,67.50
85,73.50,72.50,72.60,57.00,76.25
86,71.50,25.00,40.40,48.00,41.25
87,75.00,47.50,49.10,66.00,42.50
88,73.00,92.50,82.55,55.00,70.00
89,78.50,57.50,56.05,48.00,58.75
90,32.00,20.00,34.70,40.00,27.50
91,67.00,85.00,64.95,50.00,75.00
92,74.50,42.50,50.00,50.00,28.75
93,72.50,67.50,66.55,50.00,47.50
94,77.50,70.00,56.95,51.00,47.50
95,54.50,75.00,62.10,42.00,41.25
96,68.00,27.50,40.95,42.00,32.50
97,65.00,30.00,44.30,41.00,30.00
98,54.50,17.50,23.85,39.00,32.50
99,79.50,27.50,36.30,55.00,42.50
100,70.00,40.00,56.05,45.00,50.00
101,28.00,15.00,22.95,,16.25
102,70.00,30.00,23.35,53.00,56.25
103,57.00,27.50,35.95,36.00,25.00
104,47.00,27.50,21.20,39.00,27.50
105,51.00,22.50,28.65,41.00,21.25
106,87.00,22.50,28.85,48.00,87.50
107,52.00,32.50,37.20,36.00,21.25
108,54.50,12.50,37.75,33.00,31.25
109,65.50,40.00,24.20,47.00,32.50
110,73.00,55.00,42.00,42.00,38.75
111,62.00,22.50,34.35,43.00,30.00
112,50.00,27.50,22.80,29.00,21.25
113,68.50,25.00,20.30,42.00,28.75
114,71.50,80.00,69.40,50.00,47.50
115,24.00,12.50,18.70,27.00,22.50
116,73.00,22.50,32.40,47.00,61.25
117,67.50,17.50,19.75,36.00,30.00
118,,,,,
119,34.00,15.00,31.50,32.00,16.25
120,60.50,20.00,29.00,46.00,28.75
121,51.00,20.00,19.05,28.00,25.00
122,65.00,47.50,49.30,48.00,31.25
123,65.00,60.00,55.35,44.00,28.75
124,68.50,37.50,48.95,44.00,43.75
125,48.50,15.00,25.45,30.00,26.25
126,61.00,12.50,22.25,41.00,37.50
127,76.00,22.50,34.70,42.00,30.00
128,68.50,27.50,34.00,47.00,38.75
129,76.00,87.50,56.95,43.00,47.50
