ลำดับ,ภาษาไทย (01),คณิตศาสตร์ (04),วิทยาศาสตร์ (05),สังคมศึกษาฯ (02),ภาษาอังกฤษ (03)
130,72.50,57.50,46.80,51.00,38.75
131,73.00,52.50,65.30,46.00,66.25
132,52.50,20.00,35.95,31.00,33.75
133,44.00,15.00,20.30,24.00,17.50
134,49.00,27.50,52.15,38.00,21.25
135,47.00,17.50,26.00,41.00,37.50
136,59.50,22.50,28.65,32.00,10.00
137,66.00,70.00,60.50,40.00,20.00
138,60.00,17.50,16.20,35.00,23.75
139,49.00,15.00,28.30,23.00,18.75
140,46.50,25.00,24.55,34.00,16.25
141,75.50,27.50,34.70,50.00,35.00
142,68.50,20.00,29.00,36.00,25.00
143,33.00,20.00,27.75,43.00,23.75
144,51.00,17.50,29.90,27.00,21.25
145,,,,,
146,76.00,62.50,68.70,49.00,25.00
147,80.50,32.50,47.35,48.00,45.00
148,44.50,30.00,21.20,26.00,22.50
149,61.50,25.00,29.90,32.00,23.75
150,42.00,20.00,44.50,30.00,20.00
151,56.50,35.00,22.95,40.00,23.75
152,80.00,97.50,81.85,53.00,90.00
153,78.00,7.50,23.15,51.00,70.00
154,49.00,40.00,34.35,31.00,56.25
155,64.50,42.50,58.55,34.00,16.25
156,79.50,72.50,69.40,46.00,48.75
157,66.50,30.00,43.05,49.00,45.00
158,47.50,27.50,26.35,34.00,21.25
159,83.50,72.50,69.40,50.00,61.25
160,63.50,45.00,46.60,35.00,37.50
161,57.50,20.00,28.30,35.00,22.50
162,40.00,10.00,27.95,37.00,17.50
163,60.00,20.00,29.00,41.00,13.75
164,44.00,45.00,33.10,30.00,25.00
165,49.00,12.50,19.05,39.00,17.50
166,74.00,32.50,39.85,51.00,62.50
167,75.50,100.00,70.45,53.00,27.50
168,69.00,45.00,49.80,20.00,37.50
169,52.50,75.00,59.95,34.00,16.25
170,52.50,45.00,16.75,41.00,13.75
171,29.50,15.00,20.30,28.00,22.50
172,60.50,75.00,61.75,46.00,37.50
173,43.50,22.50,49.65,48.00,28.75
174,73.00,35.00,34.35,52.00,26.25
175,62.00,27.50,42.35,35.00,33.75
176,56.50,30.00,28.30,38.00,27.50
177,52.00,17.50,21.90,36.00,13.75
178,65.00,30.00,29.55,41.00,30.00
179,60.50,32.50,43.60,40.00,33.75
180,52.00,80.00,53.75,46.00,42.50
181,78.50,12.50,34.35,49.00,58.75
182,66.00,20.00,21.90,42.00,16.25
183,58.00,47.50,45.20,31.00,25.00
184,59.00,20.00,18.35,38.00,22.50
185,30.50,20.00,26.70,14.00,26.25
186,58.00,15.00,19.95,39.00,25.00
187,53.00,20.00,21.55,36.00,26.25
188,80.50,80.00,69.75,53.00,43.75
189,51.00,15.00,15.85,36.00,23.75
190,63.50,25.00,29.20,37.00,30.00
191,70.50,17.50,27.05,41.00,30.00
192,64.00,32.50,43.60,44.00,40.00
193,61.00,22.50,37.75,43.00,35.00
194,43.00,20.00,14.25,33.00,37.50
195,56.00,77.50,56.95,34.00,41.25
196,67.00,25.00,27.25,,40.00
197,48.00,15.00,18.15,33.00,22.50
198,57.50,50.00,30.80,38.00,28.75
199,54.00,37.50,19.05,39.00,32.50
200,70.50,32.50,46.80,44.00,35.00
201,65.50,42.50,42.90,46.00,35.00
202,68.50,75.00,65.85,46.00,71.25
203,65.50,20.00,36.30,43.00,41.25
204,69.00,27.50,29.90,41.00,67.50
205,61.50,27.50,12.10,32.00,28.75
206,69.50,100.00,75.45,54.00,57.50
207,57.50,47.50,48.05,41.00,35.00
208,62.00,25.00,40.40,40.00,28.75
209,61.00,17.50,36.65,36.00,22.50
210,80.00,75.00,51.25,50.00,65.00
211,76.50,80.00,70.10,47.00,72.50
212,19.50,15.00,32.40,32.00,21.25
213,59.50,52.50,47.35,31.00,20.00
214,64.00,40.00,45.35,38.00,35.00
215,69.50,22.50,23.85,41.00,42.50
216,74.00,27.50,37.90,38.00,52.50
217,58.50,20.00,25.10,36.00,25.00
218,62.00,20.00,32.75,37.00,30.00
219,63.00,22.50,39.15,49.00,32.50
220,68.50,20.00,33.10,39.00,28.75
221,31.00,20.00,24.55,21.00,23.75
222,74.50,42.50,50.90,53.00,35.00
223,66.50,40.00,49.30,45.00,32.50
224,61.50,35.00,32.20,40.00,32.50
225,58.00,27.50,18.50,33.00,37.50
226,50.00,15.00,26.00,31.00,23.75
227,52.50,25.00,30.10,46.00,38.75
228,80.00,80.00,68.15,56.00,61.25
229,47.50,12.50,34.00,38.00,30.00
230,45.50,10.00,30.45,30.00,18.75
231,69.50,52.50,51.25,43.00,62.50
232,64.00,60.00,68.70,49.00,47.50
233,56.50,20.00,34.00,30.00,22.50
234,43.50,27.50,22.60,39.00,42.50
235,64.50,15.00,33.65,40.00,21.25
236,71.50,20.00,52.30,45.00,26.25
237,,,,,
238,42.00,10.00,21.55,27.00,17.50
239,24.50,12.50,,21.00,46.25
240,50.00,12.50,14.95,38.00,25.00
241,51.50,15.00,19.40,33.00,30.00
242,62.50,37.50,55.70,48.00,86.25
243,36.50,17.50,20.30,31.00,17.50
244,63.00,15.00,25.30,26.00,27.50
245,55.50,42.50,24.20,35.00,38.75
246,23.00,15.00,29.35,26.00,17.50
247,76.50,95.00,74.20,66.00,80.00
248,61.00,60.00,56.75,41.00,31.25
249,75.50,35.00,33.65,57.00,25.00
250,62.00,55.00,27.60,35.00,33.75
251,29.50,17.50,22.60,19.00,21.25
252,47.00,30.00,34.00,36.00,23.75
253,53.50,27.50,25.10,32.00,25.00
254,32.00,27.50,21.90,34.00,20.00
255,52.00,27.50,16.20,29.00,23.75
256,77.00,30.00,50.35,51.00,42.50
257,47.00,10.00,19.05,24.00,28.75
258,58.50,17.50,29.00,47.00,38.75
259,57.00,45.00,57.30,43.00,37.50
260,66.00,30.00,33.65,45.00,25.00
261,69.00,25.00,43.25,47.00,46.25
262,58.00,20.00,20.65,33.00,18.75
263,55.50,32.50,18.70,36.00,17.50
264,40.50,25.00,29.00,36.00,22.50
265,67.50,85.00,61.90,47.00,45.00
266,55.00,7.50,,30.00,32.50
267,70.50,47.50,66.20,47.00,68.75
268,84.50,72.50,64.60,54.00,63.75
269,61.50,37.50,29.90,41.00,17.50
270,48.00,22.50,31.35,27.00,16.25
271,85.00,95.00,79.90,51.00,66.25
272,73.00,35.00,36.65,38.00,25.00
273,58.50,15.00,18.50,51.00,23.75
274,53.00,12.50,19.40,24.00,16.25
275,69.00,62.50,68.15,48.00,67.50
276,71.50,42.50,54.10,56.00,65.00
277,63.50,15.00,30.10,34.00,20.00
278,58.50,32.50,47.15,46.00,33.75
279,49.00,25.00,31.85,38.00,28.75
280,,,,,
281,39.50,12.50,19.40,34.00,20.00
282,64.50,17.50,26.70,32.00,35.00
283,54.50,20.00,26.35,37.00,20.00
284,58.50,22.50,37.40,39.00,25.00
285,54.50,50.00,49.85,35.00,30.00
286,71.50,60.00,53.40,47.00,27.50
287,56.00,45.00,43.25,35.00,26.25
288,80.00,47.50,54.10,53.00,67.50
289,60.00,22.50,29.55,45.00,23.75
290,55.50,15.00,28.30,32.00,22.50
291,78.50,60.00,64.25,52.00,55.00
292,64.00,35.00,13.00,29.00,17.50
293,48.00,20.00,30.80,41.00,26.25
294,69.50,92.50,80.95,55.00,42.50
295,37.00,27.50,22.60,30.00,17.50
296,66.50,60.00,44.15,45.00,41.25
297,53.50,17.50,25.45,23.00,15.00
298,63.50,32.50,56.05,37.00,27.50
299,69.50,77.50,54.10,43.00,60.00
300,61.00,17.50,22.95,36.00,22.50
301,78.00,95.00,72.25,60.00,62.50
302,40.00,17.50,33.10,36.00,21.25
303,50.00,37.50,23.85,38.00,32.50
304,82.00,40.00,35.40,52.00,65.00
305,76.00,50.00,50.90,54.00,42.50
306,59.50,20.00,23.50,47.00,23.75
307,63.50,22.50,25.80,43.00,35.00
308,71.00,67.50,64.40,49.00,68.75
309,37.00,17.50,17.45,28.00,16.25
310,68.50,65.00,50.35,47.00,42.50
311,58.50,25.00,28.30,36.00,33.75
312,35.50,40.00,48.40,38.00,22.50
313,35.00,25.00,27.40,24.00,17.50
314,50.00,10.00,19.95,38.00,18.75
315,70.50,30.00,37.20,44.00,30.00
316,48.50,15.00,17.80,36.00,23.75
317,50.00,22.50,17.10,23.00,18.75
318,72.00,40.00,31.15,46.00,27.50
319,48.50,25.00,33.65,40.00,37.50
320,55.00,27.50,33.10,45.00,25.00
321,60.00,45.00,52.15,47.00,38.75
322,56.00,15.00,34.70,38.00,23.75
323,59.50,30.00,30.10,30.00,20.00
324,40.50,12.50,27.60,28.00,15.00
325,78.00,30.00,52.50,55.00,43.75
326,83.50,65.00,51.60,46.00,57.50
327,67.00,17.50,32.40,36.00,25.00
328,46.00,17.50,24.20,26.00,22.50
329,75.00,87.50,64.40,52.00,82.50
330,52.00,27.50,20.10,29.00,22.50
331,61.50,20.00,42.00,40.00,48.75
332,69.50,77.50,51.80,47.00,48.75
333,75.00,50.00,46.80,42.00,45.00
334,47.50,30.00,26.35,33.00,30.00
335,67.00,60.00,57.50,46.00,55.00
336,40.50,40.00,27.60,30.00,15.00
337,79.00,92.50,74.90,45.00,52.50
338,65.00,42.50,50.55,49.00,38.75
339,70.50,30.00,25.10,41.00,30.00
340,47.00,17.50,26.70,33.00,27.50
341,59.50,37.50,55.35,40.00,31.25
342,80.00,97.50,70.65,68.00,71.25
343,54.00,10.00,28.85,39.00,23.75
344,51.50,20.00,27.25,29.00,27.50
345,41.00,27.50,14.60,35.00,17.50
346,76.50,85.00,48.40,56.00,68.75
347,73.50,67.50,51.95,54.00,71.25
348,71.00,77.50,76.15,56.00,57.50
349,29.00,27.50,23.50,37.00,17.50
350,61.00,27.50,21.55,44.00,27.50
351,91.50,100.00,70.30,60.00,78.75
352,64.00,17.50,27.40,49.00,38.75
353,57.50,55.00,43.60,35.00,42.50
354,37.00,17.50,23.15,33.00,15.00
355,54.00,37.50,35.05,40.00,42.50
356,60.50,12.50,15.85,32.00,20.00
357,67.50,20.00,25.10,35.00,28.75
358,66.50,22.50,35.95,46.00,45.00
359,69.50,92.50,56.60,45.00,61.25
360,46.00,22.50,12.10,27.00,31.25
361,72.50,30.00,37.20,46.00,38.75
362,41.00,32.50,30.25,31.00,23.75
363,55.50,32.50,45.20,30.00,35.00
364,66.50,25.00,27.60,45.00,16.25
365,46.00,22.50,23.15,33.00,18.75
366,60.00,62.50,30.95,33.00,37.50
367,60.00,30.00,31.50,40.00,23.75
368,57.00,22.50,17.80,28.00,50.00
369,21.00,12.50,17.45,32.00,32.50
370,76.50,32.50,25.45,49.00,55.00
371,62.00,22.50,25.45,40.00,21.25
372,52.00,17.50,22.80,27.00,20.00
373,68.50,32.50,28.30,47.00,36.25
374,55.50,30.00,44.30,49.00,35.00
375,76.00,40.00,50.35,33.00,36.25
376,41.00,10.00,19.05,22.00,17.50
377,85.00,95.00,82.75,63.00,81.25
378,80.00,37.50,33.45,53.00,51.25
379,56.50,17.50,21.70,32.00,28.75
380,57.50,15.00,25.10,35.00,23.75
381,47.50,10.00,27.40,34.00,16.25
382,58.00,20.00,26.70,45.00,66.25
383,28.50,17.50,19.75,31.00,16.25
384,55.50,30.00,16.40,40.00,22.50
385,83.50,82.50,58.90,60.00,63.75
386,60.50,15.00,36.85,35.00,35.00
387,53.50,52.50,35.60,19.00,42.50
388,76.00,60.00,53.75,36.00,36.25
389,72.50,32.50,41.10,44.00,77.50
390,41.50,22.50,18.15,33.00,26.25
391,67.00,25.00,29.00,35.00,33.75
392,52.50,7.50,27.95,42.00,56.25
393,57.50,55.00,30.80,38.00,36.25
394,36.00,7.50,22.25,29.00,48.75
395,61.50,57.50,51.25,47.00,32.50
396,83.00,62.50,63.35,54.00,41.25
397,37.00,15.00,21.90,27.00,22.50
398,71.50,40.00,40.05,44.00,46.25
399,55.00,15.00,27.25,42.00,28.75
400,62.50,47.50,43.60,44.00,36.25
401,45.00,12.50,27.05,28.00,13.75
402,87.50,90.00,81.50,68.00,71.25
403,77.00,32.50,39.15,48.00,67.50
404,52.00,32.50,26.70,17.00,46.25
405,66.00,62.50,53.20,53.00,46.25
406,71.50,57.50,56.40,47.00,58.75
407,25.50,15.00,22.95,30.00,18.75
408,78.50,87.50,80.60,50.00,56.25
409,59.50,35.00,37.90,37.00,20.00
410,54.50,47.50,37.90,33.00,33.75
411,45.00,45.00,31.15,38.00,25.00
412,73.50,35.00,40.20,43.00,40.00
413,51.50,17.50,26.15,31.00,22.50
414,50.50,15.00,26.15,38.00,20.00
415,70.50,42.50,43.45,33.00,25.00
416,77.00,22.50,32.40,51.00,50.00
417,64.00,15.00,31.50,34.00,37.50
418,51.50,25.00,23.50,37.00,43.75
419,66.00,50.00,54.65,43.00,46.25
420,78.50,90.00,67.80,53.00,47.50
421,62.50,30.00,30.10,41.00,30.00
422,68.00,67.50,27.75,39.00,28.75
423,53.50,7.50,30.10,44.00,20.00
424,46.00,12.50,27.95,31.00,13.75
425,49.00,12.50,21.55,37.00,17.50
426,64.50,50.00,57.65,48.00,47.50
427,65.00,17.50,21.20,39.00,30.00
428,58.50,30.00,27.95,45.00,20.00
429,60.50,42.50,44.85,45.00,27.50
430,57.50,5.00,22.25,38.00,35.00
431,50.50,85.00,58.00,33.00,53.75
432,65.50,42.50,43.25,49.00,33.75
433,76.00,97.50,63.70,55.00,53.75
434,67.50,15.00,23.85,27.00,30.00
435,47.00,20.00,20.30,35.00,43.75
436,69.00,17.50,26.35,35.00,32.50
437,62.00,27.50,39.15,40.00,46.25
438,56.00,15.00,24.40,27.00,12.50
439,49.00,22.50,32.05,42.00,31.25
,19.50,5.00,12.10,14.00,10.00
,91.50,100.00,82.75,68.00,90.00
,72.00,95.00,70.65,54.00,80.00
,60.29,36.26,38.15,40.30,36.04
,#N/A,17.5,#N/A,45,30
,61,27.5,33.1,40,31.25
